#台羅	漢字（按次數）
tam5	談 㴷 澹 淡 譚 蕁 淫 餤 郯 炎 覃 倓 惔 錟 壜
tam7	淡 澹 湛 啖 氮 萏 賧 禫 站 噉 窞 餤 倓
tan1	單 釘 丹 擔 簞 噸 癉 鄲 石 殫 仃 等 焦 音 躭 聃 酖 匰
tan2	等 蛋 擔 彈 石 澹 㔊 癉 疸 殫 啗
tan3	掞 但 旦 釘 誕 盯 蛋 癉 䋎 擲 鉭 𠢪 憚 揕 怛 笪 疸 朾
tan5	彈 鳴 檀 𦗀 陳 亭 撣 壇 南 近 瞋
tan7	但 彈 撣 憚 誕 蛋 蜑 事 䋎 撢 疍 僤 𩻸
tang1	東 冬 當 噹 鐺 咚 中 襠 璫 檔 𤷆 晚 棠 簹 鼕 苳
tang2	當 董 懂 檔 黨 菪 滓 擋 膽 凼
tang3	凍 當 㨂 棟 通 𧡍 文 倲 腖
tang5	同 銅 筒 童 桐 𩪘 筩 茼 衕 學 宣 𤭁 棠 僮 姒
tang7	重 動 筩 文 洞 方 震 稱 𤭁 振
tann1	擔 今 旦 担 當 丁 乾 儋
tann2	打 膽 哳 咑 疸 呾
tann3	擔 呾 談 石 但 訂 疸 檐
tann5	譚 重 誕 呾
tann7	誔 耽 淡 掞 錯 但 哳 咑 誕
tap4	答 嗒 搭 鎝 瘩 耷 褡 溚 劄 八 觸 塔 傝
tap8	踏 沓 嗒 答 值 遝 溚 觸 蹋
tat4	笪 妲 噠 哳 怛 笛 達 值 塞 靼 韃 撻 疸
tat8	值 達 笛 笪 文 繨 沛 噠 𣸉 鐽 㒓 叻
tau1	兜 叨 嘲 㨮 刀 逗 蔸 篼 啁 倒 脰 窬
tau2	斗 倒 道 肚 鬦 蹈 枓 到 鬥 搗 燾 都 稻 堵 啄 杓 鬪 捯 擣 軇
tau3	鬦 鬥 到 鬪 晝 罩 跳 午 踔 文 𩰚 豆
tau5	投 骰 叨 脰 嘲 佻 潮 刀 跳 搗 䄻
tau7	豆 脰 讀 逗 痘 荳 盜 腐 棹 櫂
tauh4	篤 啄 鬥 㧻 椓 罩
tauh8	沓 瀆 篤 拾
te1	低 䬫 氐 爹 羝 嗲 茶 柢 牴 胝
te2	底 短 貯 抵 柢 邸 坻 垛 塊 帝 桳 迹 鉈 氐 牴 砥 詆 骶 錁 𣥼
te3	塊 帝 地 處 逫 𣑫 逮 渧 綴 滯 締 帶 諦 柢 螮 從 隶 笮 戴 蒂 瞪 碲 垛 氏 對 著 讀 咧 貯 袋 侂 遰 嚏 憹 蹛 潼 䟾 疐 筰
te5	茶 題 蹄 荑 提 綈 鷈 踶 鮷 荼 搽 袋 泡 啼 釵 坊 鍉 鵜 稊 禔 緹 醍 鶗 騠
te7	地 第 袋 弟 代 苧 塊 娣 棣 帶 逮 滯 埭 睇 髢 禘 踶 柵 悌 土 蹄 廈 底 遞 文 獄 朴 澎 杕 締 綈 銻 窨 紵 彘
tee2	底
tee3	底
teh4	壓 在 啄 硩 惙 鎮 仄 搾 嫳 簀 柞 熅
teh8	地 在 窄 咧 壓 隘 要 奪
tenn1	𩨑 靪 擲
tenn3	侂 𩏠 佯 殿 侘 盯 瞪
tenn5	蹄 纏 𩨑
tenn7	擲 鄭 𩨑 敁
tha1	他 它 她 趿 遢 塌 鉈 牠 祂 溻 褟 音 噠
tha2	踏 達 沓 嗒 鰨 拓 遢 蹋 遝 㒓 榻 漯 澾 闒 鞳
tha3	奓 挓 侘 詫 吒 䖳 咤 姹 膪
tha5	塌
tha7	䖳
thah4	塔 那 豈 躂 疊 搭 鰨 讀 沓 獺 即 何 拓 嗒 鎝 踢 搨 㒓
thah8	疊 沓 匒
thai1	篩 胎 颱 苔 𥭘 台 鮐 治 駘 擡 衣 典 檯 紿 邰 炱
thai2	態 癩 體 忕 㘆 呔 豈 可 那 怎 何 儓 乜
thai3	態 太 泰 汰 大 殺 忕 肽 酞 鈦 詒 傣 汏 騃 勿 蠆
thai5	刣 殺 台 臺 夷 邰 治 檯 宰 駘 炱 鮐 擡 薹
thai7	待 態 挺 駘 代 腆
thainn2	咍
thainn3	腆
thainn7	挺 腆
thak4	剔 斥 𢬳 讀 踔 托
thak8	讀 書 鼉
tham1	貪 探 撢 坍 醓 欿
tham2	忐 毯 探 痣 菼 醓
tham3	探 試 撢
tham5	痰 潭 覃 曇 壜 談 撢 燂 蟫 鱏 墰 鐔
tham7	窞 瘻 𨻴 瘺
than1	癱 蟶 攤 灘 天 貪 癉 嘽 倓
than2	坦 毯 袒 侹 挺 疸 妲 癉 探 歎 㔊 怛 靼 綻 鉭 頲 睒 嘆
than3	趁 歎 字 碳 炭 讀 澶
than5	談 蕁 音 彈 覃 檀 撣 壜 鐔 榃 罈
thang1	通 窗 𢈉 窓 湯 桐 蹚 嗵 鏜 當 䠀 可 鞺 道 趟 熥 恫 鐋 𥦁 氨
thang2	桶 燙 統 趟 痛 捅 疼
thang3	通 痛 𥦁 疼 透
thang5	蟲 筒 桐 搪 棠 餳 虫 糖 唐 童 蟯 堂 蜚 踼
thang7	筩 弄 挵 動 撞 笭
thann1	他 它 飾
thann2	挺 坦 托 撐 侹
thann3	挺
thann7	飾 娗 文
thap4	塌 凹 嗒 錔 搨 榻 遢 鰨 塔 拓 蹋 趿 疊 鰈 溻 褟 漯 闒 鞳
thap8	疊 凹 匒
that4	塞 躂 窒 撻 踢 蹋 剔 獺 橽 韃 㒓 澾 闥 讀 達 汰 汏 榻 墶 屧 堙
that8	達 𣸉 踢
thau1	偷 挑 掏 頭 叨 饕 絛 韜 搯 縧
thau2	敨 透 䜴 解 套 鼉
thau3	透 套 到
thau5	頭 桃 咷 道 養 音 逃 投 探 辭 斧 採 陶 嫳 燾 濤 顱 騊 庸 榾 扠 汕 䰖
thau7	毒 頭 候 待
thauh8	沓
the1	推 撐 胎 釵 躺 梯 䈕 養 鷈 𠞄 撑
the2	體 赤 退 醍 体
the3	替 退 褪 涕 屉 踅 剃 傺 托 裼 撐 濞 髢 禘 締 薙 䖳
the5	提 隄 堤 締 啼 鵜 遞 醍 鶗 騠 體 諦 綈 禔 緹 鮷
the7	鮓 䖳 蚱 提 替
theh4	提 裼 挓 澈 宅 褪 徹 拕 捵 輟
theh8	提 挓 宅 㯂 拕 㞂
thenn1	撐 撑
thenn3	撐 撑 挺
thenn5	瞪
thenn7	撐
thi1	黐 魑 笞 擿 癡 踢 郗 螭 剔 天 啼 𥭘 絺 摛 樗
thi2	恥 展 搋 綈 嚏 裼 趯 涕 倜 屜 薙 褫 遞 剔 剃 棣 悌 俶 洟 啻
thi3	剃 嚏 滯 薙 疐
thi5	啼 苔 提 蹄 隄 躇 鵜 稊 泥 荑 綈 醍 鮷 鶗 踟 鯷
thi7	雉
thia1	聽
thia2	胖
thia5	檀
thiah4	拆
thiah8	拆
thiak4	拆 撕
thiam1	添 沾 覘 苫 塊 栝 呫
thiam2	諂 忝 舔 疼 殄 餂 栝
thiam3	忝 菾 掭
thiam5	恬 菾
thiam7	沈 墊
thian1	天 顛 樂 台 偏 吞
thian2	展 厾 腆 蚒 掭 跈 殄 㥏 覥 靦 蹍 搌 蕆 囅 痶 抻 捵
thian3	瑱 掭
thian5	填 田 甜 謄 闐 傳 天 恬 佃 鈿 窴 畋 菾 瞋 嗔
thian7	沸
thiang3	暢
thiann1	聽 廳 听
thiann2	疼 粥
thiann3	疼 痛 聽 忝 恫
thiann5	程 停 呈
thiannh4	拾
thiap4	貼 帖 怗 疊 拆 跕 呫
thiap8	疊 跕
thiat4	澈 徹 撤 餮 脫 鐵 哲 躂 貼 豔 佚
thiau1	挑 刁 特 佻 超 祧 蓨 怊 迢 莜
thiau2	跳 挑 窕 掉 叼 朓 眺
thiau3	跳 眺 頫 朓 糶 超
thiau5	條 調 苕 𤶃 鰷 佻 蜩 笤 鮡 跳 特 髫 齠 迢 刁 鯈
thiau7	柱 𤶃 祧
thiauh4	瓦
thie1	貼 帖 呫
thie2	帖 餮
thih4	鐵 剃 鈀 淬 彊
thih8	喋 諜 昳 鐵 䛏 𨑨 遲
thik4	斥 畜 剔 忒 敕 擿 趯 倜 叱 拆 彳 忑 俶 惕 飭 裼 宅 慝 踢 㜅 陟 鶒 坼 栻 鋱 愓 吒 𨑠 騭 抶
thik8	宅 特 翟 稙 侘 岝
thim1	鴆 琛 郴
thim2	闖
thim3	揕 䪴 鈂 鴆 酖 闖
thin1	曲 麯 瞋 抻 嗔
thin2	抻 捵
thin3	趁
thin5	漛 滕 舵 籐
thin7	伨 媵
thing1	聽 桯 廳 撐 鞓 汀 瞠 听 挺 烴 蟶 檉
thing2	聽 挺 艇 逞 寵 梃 騁 鋌 侹 蜓 停 呈 庭 町 珽 頲 裎 慂
thing3	聽 鐙 庭 撐 听
thing5	停 程 呈 騰 亭 謄 蜓 廷 莛 重 筳 鰧 船 疼 庭 瞪 縢 葶 霆 渲 挰 羇 棖 裎 酲
thing7	挺
thinn1	天 添 䋎 兵 撐 瞠
thinn2	展 挺 鐵 𦠖
thinn3	撐 漳 盤 梃
thinn5	瞪
thinn7	紩 䋎 緻 䌟 綻 袟
thinnh8	噴
thio1	挑 瞬 槊
thio3	糶 漂
thio5	頭 跳 挑
thio7	陶 匋
thiok4	蓄 畜 搐 亍 㜅 矗 逴
thiok8	尺 畜
thiong1	衷 倀 翀 盅 忡
thiong2	寵 冢 塚 噍 昶
thiong3	暢 悵 痛 鬯 賬 皺
thiong5	蟲 虫 爞 盅 翀 种
thiong7	祝
thior1	挑
thior3	苘
thir5	儲
thit4	𨑨 彳 佚 𨑠 敕 抶 亍 佗
thit8	直 𨑨 抶
thiu1	抽 紬 瘳 啾 妯
thiu2	丑 杻
thiu5	槌
thiunn3	忕
thng1	湯 窗 閼
thng2	燙
thng3	褪 燙 脫 讀 兌 袒 典
thng5	糖 傳 團 搪 鏜 醣
thng7	熥 搪 燙 湯 杖 碭 鍛 檔 煅
thngh8	棄
tho1	叨 饕 它 韜 滔 拖 掏 她 拕 弢 搯 縧 洮 台 他 牠 慆 飸
tho2	討 妥 可 忒 橢 當 媠 慝 䵚 𨚗
tho3	套 妥 透 唾 頭 佗 庹 退 媠 橢
tho5	桃 亍 佗 頭 𨑨 豉 佚 陽 洮 陁 裪
tho7	佗 它
thoh4	頭 魠 音 㼠
thoh8	踱
thok4	托 託 拓 魄 蓄 飥 魠 庹 籜 柝 橐 蘀 套 搐 畜 禿 𢬳 鵚 委 跅 逴
thok8	讀 牘
thom1	遂 丼
thong1	通 鼕 鐺 湯 鏜 恫 侗 痌 嘡 統 變 熥 𢈉 幢 疃 蹚 䠀 膛 嗵
thong2	統 捅 㧤 儻 桶 侗 帑 突 凸 惝 躺 淌 鐋 倘 钂 通 趟 當 筒 盪 俑
thong3	痛 燙 盪 𥦁
thong5	同 糖 餳
thong7	幢 宕 蕩 副
thoo1	肯 偷 揄 土 媮 鍮
thoo2	土 吐 地 敨 鈄 芏 釷 黈 歐 謳
thoo3	吐 兔 菟 付 套 透 唾 堍 吒
thoo5	塗 土 頭 涂 桃 泥 鈀 亍 墼 擂 魠 捂
thoo7	度 與 渡
thu1	樗 攄 禿 突 凸 株 摴
thu2	貯 杵 吐 苧 菟 儲 褚 著 杼 唾 着 堍 楮 佇 抒
thu3	鑛
thu5	躇 塗 凸 儲 鉏 菟 土 鋤 腯 屠 荼 𩡾 䠈 葖 鋙
thua1	拖 拕
thua3	泰
thua7	汰 導 豸 涗 汏 它 𧒴
thuah4	脫 屜 獺 汏 屉 汰 挩 拖 蹋
thuan1	湍 貒
thuan2	疃 瘓
thuan3	鍛 篆 彖 踹 脫 煅 碫 貒
thuan5	傳 團 摶 糰 鱄 椽 音 歸 搏 蒲 慱 瑑
thuan7	煅 篆
thuann1	攤 灘 癱 湍
thuann2	㔊 攤 担 普 擔 炭
thuann3	炭 湠 覃 澶 脫 泰 長 綻 碳
thuann5	攤 傳
thuann7	𧒴
thuannh4	㔊
thuat4	脫 挩 梲 稅
thue1	推 䈕 釵 拖 拕 𠞄
thue2	體
thue3	替 退 褪 蛻 駾
thue5	提 頹
thueh4	提 替
thueh8	提 㯂 挓 㞂
thuh4	托 突 禿 拓 魠 套 倒 撐
thuh8	揬 詘
thui1	推 梯 㷟 𠞟 捶
thui2	腿
thui3	替 兌 蛻 脫 唾 褪 退 睇
thui5	槌 鎚 椎 錘 鉈 搥 梯
thui7	墜 累 縋 垂 倕
thuinn3	褪 音
thun1	吞 椿 涒 暾 鶉 燉 豚 啍 咽 杶
thun2	疃 褪 蠢 踐 跈 蹍 腯 汆 蹅 氹 畽 畛 蹱
thun3	褪 忳 音
thun5	豚 黗 塵 屯 臀 囤 飩 坌 鈍 腯 𪐞 忳 魨
thun7	填 墊 坉 窴
thut4	脫 禿 踐 詘 黜 怵 絀 𢬳 鋵
thut8	突 脫 凸 禿 𢫫 鋵 捸
ti1	豬 知 猪 蜘 低 提 氐 嘀 廈 滴 胝 椥 拍 鋤 屄 殊 胯 菂 鍉 侗 櫫 祇 貞 瀦 唙
ti2	抵 地 的 柢 徵 弟 底 邸 砥 詆 踶 第 氐 坻 牴 骶 遞 致 菂 棣 螮 悌 祗 扺 豸 畤
ti3	智 致 置 戴 蒂 知 緻 稚 著 庇 輊 寘 觶 柢 地 遞 文 㨖 語 植 布 嚏 𩏠 蔕 埴 疐
ti5	除 池 持 鋤 遲 弛 躇 馳 治 坻 踟 的 嘀 嫡 箎 陂 蜘 泜 墀 篪 去 敵 特 潔 纏 屏 翟 鏑 荻 滌 糴 蚳 唙
ti7	己 治 弟 自 箸 致 在 地 底 稚 痔 是 滯 雉 籠 峙 畤 佇 站 遞 彼 獨 抵 住 筋 值 何 陶 嫳 棣 締 柵 薙 筷 豸 彘 䰖
tia1	爹
tia2	嗲
tia3	伐
tiah4	摘 文
tiah8	糴 掠 澤 滌 擇
tiak4	剔 竹 彈 擿
tiak8	𠽖 噠 答 擿 逐 丙
tiam1	砧 沾 鉆 霑 枮 椹 掂 玷 覘 佔 坫 鴆
tiam2	點 站 𫁥 踮 店 厾 贔 跕 玷
tiam3	站 店 踮 𫁥 阽 坫 玷 惦 在 佔 墊 䪴 唸 頕 埝 痁
tiam5	恬 沈 甜 湉 菾 餂
tiam7	恬 墊 扂 站 簟 湉 店 𤌯 怗
tian1	顛 癲 巔 掂 蹎 滇 𧽍 攧 音 踮 揕 敁
tian2	展 典 碘 輾 墊 電 踮 店 搌 音 淀 當 顛 佃 玷 惦 鈿 蹍 遒
tian5	田 填 𦗀 鈿 畋 纏 廛 佃 瑱 躔 瀍 厘 然 滇 湉 甸 屯 畑 闐 嗔
tian7	電 殿 澱 奠 靛 佃 鈿 綻 殄 淀 甸 䋎 田 纏 𢯩 典 墊 惦 癜 躔
tiang1	璫 張 噹
tiang2	長 漲
tiang3	帳 張 脹 漲
tiang5	長 場
tiang7	仗 長 張 杖
tiann1	朾 碇 椗
tiann2	鼎 鐤
tiann3	碇 定 蹤 踪 踮 錠
tiann5	埕 庭 呈 程
tiann7	定 錠 碇 耳 已 靛 文 娗 踐
tiap4	輒 霎 沾 跕 間 摺
tiap8	疊 諜 蝶 喋 揲 渫 墊 碟 霎 鰈 堞 牒 蹀 㲲 聶 輒
tiat4	哲 蜇 凸 噠 跌 膣
tiat8	秩 蝶 轍 昳 跌 帙 諜 疊 澈 哳 垤 迭 瓞 絰 耋 哲 揲 佚 挃 碟 噠 咥 牒 㯂 泆 軼
tiau1	雕 刁 朝 調 彫 凋 貂 啁 鼦 鵰 敦 特 叼 琱 碉 梆 挑 佻 汈 鯛 齠
tiau2	掉 調 佻 屌 鳥 釣 吊 銱 銚 窵
tiau3	吊 召 弔 調 窵 釣 掉 蛙 銱 錢 脰 屏 蓧 肇
tiau5	條 住 著 朝 調 椆 潮 牢 嘲 苕 迢 寮 稠 笤 佻 蜩 髫 齠 鰷 晁 鯈 夾 讀 代 廟 着 縧 蓨 朷 岧 莜
tiau7	調 掉 兆 銚 召 趙 旐 肇 晁 𤶃 蓧 糶
tiauh8	嗻
tie1	爹
tie2	沾
tie5	疊 諜 喋 沾 鰈 跌 蹀 揲 碟 蝶 迭 耋 褶
tih4	滴 㨖 擿 音 彼 挃 嘀
tih8	挃 碟 滴 嘀 值 笛
tik4	竹 得 德 的 敵 摘 特 擿 嫡 菂 滴 謫 澤 適 嘀 鏑 蹢 笛 著 苞 屏 宅 弔 舴 荻 陟 笮
tik8	特 敵 的 澤 軸 擇 笛 翟 擿 狄 躑 擲 螣 適 宅 迪 荻 滌 蹢 糴 直 擢 值 柚 覿 逖 埴 踧
tim1	鴆 砧 揕 䪴 椹
tim3	揕 䪴 沈 抌 擲 頓 鈂 沉 酖 掂 頕
tim5	沈 沉 鮓
tim7	𤌯 朕 燖 眹 鴆
tin1	津 珍 垂 玎 徵 叮 中 籐 抮
tin2	轉 振 震 展 陣
tin3	鎮 陣 叮
tin5	藤 陳 塵 籐 澄 陣 滕 蔯
tin7	陣 陳 垂 津 紖
ting1	燈 釘 丁 登 徵 叮 疔 盯 玎 町 酊 蹬 仃 朾 靪 癥 訂 灯 簦 鐙 瞪 中 親 橙 稽 噔 嶝 澄 磴 耵 鼟 汀 貞 楨
ting2	頂 等 鼎 釘 訂 戥 酊 打 町 腚 錠 桳 哳 誔 咑 耵 踐 艼 梃
ting3	釘 訂 定 中 叮 擲 盯 凳 嶝 鐙 飣 碇 磴 朾 打 橂 𩏠 蹬 錠 綻 鞈 幀 㡧 鋥
ting5	重 庭 程 亭 廷 澄 橙 懲 婷 蜓 謄 螣 停 藤 呈 滕 瞪 埕 鰧 葶 霆 等 層 朝 疼 盯 筳 騰 娗 莛 渟 棖 裎 酲
ting7	定 硬 橂 碇 奠 錠 墱 粳 誔 蹬 鄧 鄭 堅 文 銀 停 限 矴 訂 墊 凳 瞪 娗 腚 鋌 梃 㡧 鋥 櫈
tinn1	甜 𩨑 珍 靪 纏 掂
tinn3	𩏠 侂 瞪 佯 殿 盯 痒 滇 𠿍
tinn5	纏 縈
tinn7	滇 洔 擲 沺 淀 滿 鄭 漲 𩨑 也 敁
tinnh8	挃 值
tio1	著
tio2	攆
tio3	釣 吊 紩 弔
tio5	跳 潮 趒 長 踔 泰
tio7	兆 掉 趙 銚 𤶃 稠 著
tioh4	著 擢 着 拕 氣 觸 㩐
tioh8	著 着 氣 𤏸 叮 拽
tiok4	築 竹 竺 建 砒 着 焯 躅 瘃
tiok8	著 逐 軸 着 築 舳 妯 筑 語 特 柚 摶 鐯
tiong1	中 忠 張 衷 羇
tiong2	長 漲 冢 侗
tiong3	中 漲 脹 帳 悵 胖 棟
tiong5	重 長 腸 場 短 同 墜 脹 倀 萇 棖
tiong7	重 丈 仲 仗 杖 貴 方 喪 揰
tionn1	張 場 泉 鋪
tionn2	長 文
tionn3	脹 帳 漲 張
tionn5	場 系
tionn7	丈
tior5	投
tior7	軂
tiorh4	擢
tip4	得 縶
tip8	蟄
tir1	豬 漳 猪
tir3	箸 呂
tir7	廈 箸
tirh8	莆
tirinn7	勥
tit4	得 直 的 值 窒 啲 侄
tit8	直 值 姪 得 蟄 秩 侄 啲 京 帙 驚 序 戇 埴 抶
tiu1	稠 丟 啁 銩 鵃 侜 輈 譸
tiu2	肘
tiu3	晝 漲 咮 噣
tiu5	綢 躊 稠 籌 幬 燾 惆 淘 裯 儔 疇 稻 場 紬 倜 棰 莨 譸 妯 懤
tiu7	稻 宙 籀 紂 冑 酎 晝 䅢 繇 𦳢 音 播 住 杖 盩 胄 秞 葤 懤 苖
tiuh4	搐 拕
tiunn1	張 場 鋪
tiunn2	長 漳
tiunn3	脹 漲 帳 張 胖
tiunn5	場
tiunn7	丈 䅢
tiunnh8	蛘
tng1	當 張 返
tng2	轉 讀 返 斷 字 漲
tng3	頓 當 質 燙 蹾
tng5	長 腸 堂 塘 唐 樂 剸 傳 文 童 袍 鏜
tng7	斷 撞 丈 盪 擋 當 蕩 搪
to1	刀 多 地 的 倒 得 都 啁 魛 哆 或 是 幾 了 雙 待 叢 襶 鞘 裯
to2	倒 底 島 那 禱 何 哪 垛 擣 躲 朵 短 搗 壔 幬 壓 肚 捯 埵 剁 跺 檮 吶 愣 鍺 捶
to3	倒 到 都 癉 垛 恿 塊 攤 𣑫 剁 臾
to5	逃 駝 陶 萄 淘 得 陀 燾 裪 桃 跳 馱 鉈 砣 跎 沱 濤 佗 度 蛇 鼉 它 柁 咷 鼗 洮 啕 醄 檮 陁 酡 鮀 鴕 鼧 德 他 陽 掏 拕 朵 搯 匋 騊 坨 庹 綯 垞
to7	都 道 導 悼 盜 惰 蹈 袋 稻 燾 墮 舵 觀 幬 纛 馱 問 多 陶 隋 駝 拕 柁 跺 匋
toh4	桌 𤏸 卓 得 咑 桯 棹
toh8	𤏸 𤏲 著 着 焯 桌
tok4	督 啄 琢 斲 篤 卓 椓 桌 厾 焯 㞘 斵 倬 諑 噣 毒 監 𥓍 剁 㧻 棹 剢
tok8	毒 獨 度 碡 瀆 牘 讟 踱 鐸 頓 濁 櫝 匵 犢 髑 黷 斁 嘖 鴆 擢 讀 樂 纛 蹢 覿 凙 襗 鐲
tom5	薄
tong1	當 東 冬 鐺 中 噹 鼕 咚 簹 屏 襠 璫 氡 侗 混 篔 檔 倲 蝀 崬 𤷆 鶇 佟 遒
tong2	黨 董 懂 擋 讜 轉 攩
tong3	擋 當 棟 檔 𢳾 慟 凍 倲 動 攩 𨼴 蝀 戇 潼 儑 噹 勾 㨂 壋 垌 腖 𧡍
tong5	同 童 堂 唐 筒 瞳 棠 鏜 衕 螳 幢 塘 桐 僮 潼 峒 銅 筩 艟 搪 侗 菪 鼕 垌 溏 螗 赯 佟 彤 烔 茼 曈 鮦 糖 洞 疼 袍 𢈉 硐 瑭 樘 醣 痌 峂 酮 朣 餳 瞠
tong7	動 洞 蕩 撞 盪 宕 𢳾 菪 侗 胴 搪 峒 恫 丈 唐 湯 筩 碭 幢 慟 垌 働 當 燙 𥛱 駘 攩 莨 硐
too1	都 多 闍 兜 蔸 篼 𦘴 嘟
too2	肚 堵 賭 枓 斗 睹 鬦 抖 蚪 陡 廚 屠 垛 駑 楮 褚 堙
too3	𪐞 妬 妒 鬥 射 蠹 鬦 斁 音 𦘴 嫪 咤 噣
too5	圖 途 徒 塗 廚 屠 荼 骰 菟 投 涂 酴 駼 土 茶 陀 闍 滁 羇 余
too7	度 肚 渡 鍍 杜 土 豆 竇 讀 逗 餖 脰 痘 荳 塗 態 導 道 蓖 𥥷 芏 荰 晬
tooh4	卓
tooh8	吱
tor1	裉
tor2	肚
tor7	度
tsa1	查 㜁 丈 臢 楂 紮 咱 渣 咂 喳 遮 匝 扎 揸 皻 音 文 挓 早 昨 ④ 咋 猹 餷 槎 蹅 紥
tsa2	早 朝 父 插 鮓
tsa3	炸 詐 咋 昨 搾 榨 笮 蚱 乍 痄 溠 醡 怍 諞 舴 鮓 苲 蜡 筰 祚 氨
tsa5	雜 砸 查 槎 咱 嘁 偺 茬 桚
tsa7	昨 炸 乍 㜁 喳 蚱 鮓 蜡
tsah4	紮 抸 扎 柞 閘 插 鍤
tsah8	截 閘 柵 卡 鍘 族 十 埤 炸 昨 笮 筰
tsai1	知 災 栽 齋 哉 齊 時 在 早 裁 擠 儕 嚌 貞 睵 崽
tsai2	滓 載 宰 在 早 怎 再 指 相 儎
tsai3	再 載 哉 在 債 菜 佳 埤 搾
tsai5	才 財 材 臍 裁 斷 仔 豺 層 柴 栽 葚 儕
tsai7	在 儎 載 豸 寨 砦 㩟
tsainn1	知
tsainn2	指 怎 宰 第 載 樣 滓 崽
tsainn5	前
tsainn7	在
tsak4	促 齪 捉
tsak8	嗾 濁 浞 𩆸
tsam1	針 噆 簪 臢 䐶 沾 咱 尖 霑 糌 腌 喒 涔
tsam2	斬 嶄 噆
tsam3	𢕕 蹔 蘸 踐 站 鑽
tsam5	讒 巉 𨅔 嶄 慚 潛 饞
tsam7	暫 站 斬 嶄 賺 槧 鏨 㨻 㓠 羇 塹
tsan1	曾 罾 簪 糌 層 殘 偺 繒 蹭 䐶 𪙭
tsan2	讚 盞 贊 音 䩆 扠 趲 鏨
tsan3	贊 棧 讚 層 攢 站 賛 趲 䰖 酇 瓚 纂 纘
tsan5	層 殘 甑 刺 咱 孱 偺 𠡡 糌 潺 嶒
tsan7	贊 贈 賛 助 棧 瓚
tsang1	鬃 棕 髒 䐶 採 牂 臢 贓 腌 椶
tsang2	總 𥡥 摠 藏 鬃 叢 臟 髒 奘
tsang3	粽 綜 壯 奘 帳 𥡥 灶 髒
tsang5	欉 叢 昨 淙 髒
tsann2	斬 整 嶄 截 剸
tsann3	蘸 炸
tsann5	斬 攙 𨅔
tsann7	拃 㨻 鍘
tsap4	汁 札 咂 紮 䀹 唼 十 匝 砸 眨
tsap8	十 雜 𠿓 拾 咂 卡 什 唼 文 閘 錯 叢 丈
tsat4	節 紮 扎 札 咂 賊 軋 匝 唼 嘁 砸 劄 紥
tsat8	實 賊 節 塞 寔 鰂 寂 鍘
tsau1	糟 焦 蹧 抓 走 奏
tsau2	走 造 蚤 草 早 笊 語 燥 灶 爪 噪 狡 找 澡 皁
tsau3	奏 灶 竈 做 砌 鼉 爖 櫂
tsau5	褿 巢 剿 鑿
tsau7	找 櫂 淖 掉 棹
tsauh8	哳 寂
tse1	劑 渣 此 齋 這 者 災 躋 齎 齏 儕 𥻗 讀 齊 萎 虀 隮 擠 癠
tse2	濟 姊 制 井 薺 這 擠 此 際 夫 者 製 姐 泲 鱭
tse3	制 製 際 祭 濟 債 晬 贅 劑 下 緻 穄 擠 漈 嚌 霽 晣 讀 做 責 兒 穧 掣 撮 弔 糟 簀 詐 鰶 柞 晢 䭁 瘵 氨
tse5	齊 蠐 蟬 薺 臍 蜓
tse7	讀 坐 座 多 際 穧 罪 縩 寨 砦 劑 睡 訓 禪 嚌 字 澹 少 造 監 渣 薺 儕 鱭 㩟 烖
tsee5	蟬
tseh4	節 仄 績 𤺅 簀 文 氣 至 側 唶 癤
tseh8	絕 截 節
tsenn1	爭
tsenn2	井
tsenn3	諍 爭
tsenn5	晴 文
tsenn7	讀
tsha1	差 叉 杈 擦 岔 扠 嚓 搽 汊 拆 插 吵 蹉 嗏 餷 䃰
tsha2	吵 炒 鬧 㥮 蹅
tsha3	吵 吒 衩 鈔 喳 咤 侘 脆 呲 姹 詫 瘥
tsha5	柴 查 材 茶 茈 嵖 搽 槎 語 荼 榾 𥻗 樵 楂 茬 碴
tsha7	喳 吵 嘈
tshah4	插 鍤 嚓 柞
tshah8	喳
tshai1	猜 差 釵 杈 偲
tshai2	彩 采 採 綵 菜 縩 睬 跴 且 釆 裁 蔡 寀 埰
tshai3	菜 蔡 採 采 芥 瘥 夾 市 茭 宴 蠆 埰
tshai5	裁 材 豺 柴 財 才 儕 在 纔 分 栽
tshai7	在 栽 材 祀 豎 菜 彩 剚
tshainn1	千
tshainn2	彩 採 采 睬
tshainn3	襯
tshak4	察 簇 軸 𢄧 鑿 漆 刺 戳 齪 矗
tshak8	鑿 簎 賊 戳
tsham1	參 摻 驂 攙 文 黨 差
tsham2	慘 磣 黲 噆
tsham3	襯 讖 懺 摻 參 塹 槧 嚵 羼
tsham5	蠶 鑱 慚 饞 讒 涔 漸 嶄 巉 瀺 毚 簿 攙 儳 劖 嚵
tshan1	餐 孱 呻 親 潺 參 䉔 恫 僝
tshan2	剗 孱 羼 摻 滻 鏟 驏 丳 粲
tshan3	粲 襯 燦 綻 璨 羼
tshan5	田 殘 埩 孱 蜻 蛉 蠶 埤 蠳 屯 饞 塍 潺
tshang1	蔥 清 蒼 聰 倉 娼 傖 瘡 鶬
tshang2	鬉 聳 藏
tshang3	藏 㣒 聳 𩯲 潛 𠏭
tshang5	藏
tshann7	㨻 錚
